FullGeoName,key_plot_id,source,sewershed,location,sample_collect_date,first_sample_collect_date,submission_date,population_served,pos_samples,total_samples,percent_detections,pcr_target_detect_cat,latitude,longitude,pcr_target,counties,jurisdiction
,WWS_ca_1946_Treatment plant_primary sludge,WWS,ID:1946,Treatment plant,2024-07-20,2023-02-20,2024-07-23T01:24:21.131Z,153000,2,24,8.333,Intermittent detection,37.180876000000005,-121.705207,hmpxv clade ii,Santa Clara,California
,WWS_nh_1706_Treatment plant_post grit removal,WWS,ID:1706,Treatment plant,2024-06-26,2022-10-12,2024-06-30T01:20:03.399Z,4000,0,11,0.0,No recent data,43.279734000000005,-71.669603,hmpxv clade ii,Merrimack,New Hampshire
,CDC_VERILY_me_2511_Treatment plant_post grit removal,CDC_VERILY,ID:2511,Treatment plant,2024-07-17,2023-12-04,2024-07-20T20:49:02.968Z,16000,0,4,0.0,No detection,43.544176,-70.644539,nvo,York,Maine
,CDC_VERILY_ma_2539_Treatment plant_raw wastewater,CDC_VERILY,ID:2539,Treatment plant,2024-07-18,2023-12-26,2024-07-20T21:49:17.392Z,228285,0,6,0.0,No detection,42.435756,-71.45816500000001,nvo,Middlesex,Massachusetts
,WWS_vt_2613_Treatment plant_primary sludge,WWS,ID:2613,Treatment plant,2024-07-18,2023-03-06,2024-07-21T01:16:01.201Z,10100,0,9,0.0,No detection,44.25689,-72.613619,hmpxv clade ii,Washington,Vermont
,CDC_VERILY_va_2695_Treatment plant_post grit removal,CDC_VERILY,ID:2695,Treatment plant,2024-07-18,2024-03-21,2024-07-20T21:49:17.392Z,15000,0,7,0.0,No detection,37.650895000000006,-79.875047,nvo,Alleghany,Virginia
,WWS_ks_1710_Treatment plant_primary sludge,WWS,ID:1710,Treatment plant,2024-07-17,2022-08-08,2024-07-21T01:16:01.201Z,47000,0,9,0.0,No detection,38.826553,-97.641273,hmpxv clade ii,Saline,Kansas
,CDC_VERILY_nm_2492_Treatment plant_post grit removal,CDC_VERILY,ID:2492,Treatment plant,2024-07-22,2023-11-27,2024-07-24T05:51:15.286Z,87000,0,3,0.0,No detection,35.697464000000004,-105.94802299999999,nvo,Santa Fe,New Mexico
,CDC_VERILY_fl_2749_Treatment plant_raw wastewater,CDC_VERILY,ID:2749,Treatment plant,2024-07-22,2024-04-29,2024-07-24T05:20:17.101Z,43023,0,8,0.0,No detection,25.952059000000002,-80.140627,nvo,Miami,Indiana
,CDC_VERILY_sc_2677_Treatment plant_post grit removal,CDC_VERILY,ID:2677,Treatment plant,2024-07-18,2024-01-09,2024-07-20T21:49:17.392Z,48000,0,6,0.0,No detection,34.107889,-82.13438099999999,nvo,Greenwood,South Carolina
,CDC_VERILY_fl_2752_Treatment plant_post grit removal,CDC_VERILY,ID:2752,Treatment plant,2024-07-21,2024-05-05,2024-07-24T05:51:15.286Z,750000,0,7,0.0,No detection,25.699858,-80.171055,nvo,Miami-Dade,Florida
,NWSS_wa_1399_Treatment plant_raw wastewater,NWSS,ID:1399,Treatment plant,2024-07-10,2022-10-24,2024-07-17T16:15:19.000Z,10000,0,4,0.0,No detection,48.017052,-122.842003,hmpxv,Jefferson,Washington
,CDC_VERILY_ca_2741_Treatment plant_post grit removal,CDC_VERILY,ID:2741,Treatment plant,2024-07-18,2024-04-23,2024-07-20T20:49:02.968Z,13754,0,7,0.0,No detection,39.118626,-121.122016,nvo,Nevada,California
,NWSS_wa_753_Treatment plant_raw wastewater,NWSS,ID:753,Treatment plant,2024-07-12,2022-10-24,2024-07-17T16:15:19.000Z,73000,0,5,0.0,No detection,46.42106,-118.89920699999999,hmpxv,Franklin,Washington
,CDC_VERILY_ca_1593_Treatment plant_raw wastewater,CDC_VERILY,ID:1593,Treatment plant,2024-07-18,2022-12-19,2024-07-20T21:49:17.392Z,6031,0,6,0.0,No detection,35.598667999999996,-120.949854,nvo,San Luis Obispo,California
,WWS_ia_1867_Treatment plant_post grit removal,WWS,ID:1867,Treatment plant,2024-07-17,2023-01-23,2024-07-21T01:16:01.201Z,23000,0,9,0.0,No detection,41.689742,-91.6246,hmpxv clade ii,Johnson,Iowa
,CDC_VERILY_tx_2682_Treatment plant_raw wastewater,CDC_VERILY,ID:2682,Treatment plant,2024-06-04,2024-03-05,2024-06-08T19:09:59.095Z,13487,0,2,0.0,No recent data,32.366696999999995,-102.527415,nvo,Andrews,Texas
,NWSS_nc_335_Treatment plant_raw wastewater,NWSS,ID:335,Treatment plant,2024-06-06,2023-12-21,2024-06-14T16:25:16.000Z,7776,0,2,0.0,No recent data,35.874739999999996,-78.361542,nvo,Wake,North Carolina
,CDC_VERILY_fl_670_Treatment plant_raw wastewater,CDC_VERILY,ID:670,Treatment plant,2024-07-21,2024-01-07,2024-07-24T05:51:15.286Z,59587,0,5,0.0,No detection,28.629585000000002,-81.48156300000001,nvo,Orange,Florida
,NWSS_wa_1620_Treatment plant_raw wastewater,NWSS,ID:1620,Treatment plant,2024-07-11,2022-10-23,2024-07-17T16:15:19.000Z,33000,0,4,0.0,No detection,46.1461,-118.28600700000001,hmpxv,Walla Walla,Washington
,CDC_VERILY_nc_2641_Treatment plant_post grit removal,CDC_VERILY,ID:2641,Treatment plant,2024-07-17,2024-01-17,2024-07-20T20:49:02.968Z,10000,0,4,0.0,No detection,35.499641,-83.34205999999999,nvo,"Swain, Jackson",North Carolina
,CDC_VERILY_tx_1141_Treatment plant_raw wastewater,CDC_VERILY,ID:1141,Treatment plant,2024-07-18,2022-10-17,2024-07-20T21:49:17.392Z,529541,0,6,0.0,No detection,30.281627999999998,-97.618871,nvo,Travis,Texas
,WWS_hi_1203_Treatment plant_post grit removal,WWS,ID:1203 -B,Treatment plant,2024-07-17,2023-06-26,2024-07-21T01:16:01.201Z,300000,0,9,0.0,No detection,21.34447,-158.02375,hmpxv clade ii,Honolulu,Hawaii
,WWS_ga_1742_Treatment plant_post grit removal,WWS,ID:1742,Treatment plant,2024-07-14,2022-10-30,2024-07-19T01:21:14.107Z,70887,0,8,0.0,No detection,33.729541,-84.542782,hmpxv clade ii,Fulton,Georgia
,WWS_me_2002_Treatment plant_post grit removal,WWS,ID:2002,Treatment plant,2024-06-06,2023-01-18,2024-06-16T01:21:58.343Z,10000,0,4,0.0,No recent data,43.207314000000004,-70.72249000000001,hmpxv clade ii,York,Maine
,WWS_nh_497_Treatment plant_post grit removal,WWS,ID:497 -B,Treatment plant,2024-06-26,2022-10-12,2024-06-30T01:20:03.399Z,45000,0,11,0.0,No recent data,43.238234,-71.536781,hmpxv clade ii,Merrimack,New Hampshire
,CDC_VERILY_ca_834_Treatment plant_post grit removal,CDC_VERILY,ID:834 -A,Treatment plant,2024-07-17,2022-10-31,2024-07-20T20:49:02.968Z,91980,0,6,0.0,No detection,33.723961,-116.037785,nvo,Riverside,California
,WWS_tx_867_Treatment plant_post grit removal,WWS,ID:867 -B,Treatment plant,2024-07-17,2022-12-12,2024-07-21T01:16:01.201Z,140000,0,9,0.0,No detection,27.527599000000002,-99.485438,hmpxv clade ii,Webb,Texas
,CDC_VERILY_fl_2503_Treatment plant_post grit removal,CDC_VERILY,ID:2503,Treatment plant,2024-07-18,2023-11-27,2024-07-20T20:49:02.968Z,207000,0,5,0.0,No detection,30.675799,-87.360015,nvo,Escambia,Florida
,CDC_VERILY_nc_2565_Treatment plant_post grit removal,CDC_VERILY,ID:2565,Treatment plant,2024-07-18,2024-01-02,2024-07-20T20:49:02.968Z,26000,0,6,0.0,No detection,36.224196,-81.711264,nvo,Watauga,North Carolina
,WWS_vt_2599_Treatment plant_primary sludge,WWS,ID:2599,Treatment plant,2024-07-17,2023-03-03,2024-07-21T01:16:01.201Z,30000,0,9,0.0,No detection,44.473637999999994,-73.029311,hmpxv clade ii,Chittenden,Vermont
,WWS_ks_1811_Treatment plant_post grit removal,WWS,ID:1811,Treatment plant,2024-07-11,2023-01-10,2024-07-16T01:15:18.432Z,35000,0,6,0.0,No detection,39.080874,-94.787193,hmpxv clade ii,Wyandotte,Kansas
,WWS_ca_1713_Treatment plant_primary sludge,WWS,ID:1713,Treatment plant,2024-07-17,2022-09-26,2024-07-21T01:16:01.201Z,83300,0,9,0.0,No detection,38.522638,-122.303121,hmpxv clade ii,Napa,California
,WWS_tx_1762_Treatment plant_post grit removal,WWS,ID:1762,Treatment plant,2024-07-16,2022-12-04,2024-07-21T01:16:01.201Z,140000,0,9,0.0,No detection,35.271947,-101.737446,hmpxv clade ii,"Randall, Potter",Texas
,WWS_ca_2600_Treatment plant_primary sludge,WWS,ID:2600,Treatment plant,2024-06-28,2023-03-06,2024-07-07T01:25:43.911Z,67944,0,1,0.0,No recent data,36.932526,-120.173463,hmpxv clade ii,Madera,California
,WWS_ma_1780_Treatment plant_primary sludge,WWS,ID:1780,Treatment plant,2024-07-17,2022-12-12,2024-07-21T01:16:01.201Z,2400000,0,9,0.0,No detection,42.370567,-70.979479,hmpxv clade ii,"Suffolk, Middlesex, Plymouth, Worcester, Norfolk",Massachusetts
,NWSS_nc_332_Treatment plant_raw wastewater,NWSS,ID:332,Treatment plant,2024-06-06,2023-12-21,2024-06-14T16:25:16.000Z,550000,0,2,0.0,No recent data,35.73306,-78.555803,nvo,Wake,North Carolina
,WWS_tx_1761_Treatment plant_post grit removal,WWS,ID:1761,Treatment plant,2024-07-16,2022-12-07,2024-07-21T01:16:01.201Z,60000,0,9,0.0,No detection,35.110689,-101.807157,hmpxv clade ii,"Randall, Potter",Texas
,NWSS_il_674_Before treatment plant_20_raw wastewater,NWSS,ID:674 -U1,Before treatment plant,2024-07-01,2023-02-28,2024-07-08T12:48:27.000Z,54362,0,1,0.0,No recent data,41.813969,-87.67596,hmpxv clade ii,Cook,Illinois
,WWS_hi_798_Treatment plant_post grit removal,WWS,ID:798 -B,Treatment plant,2024-06-26,2023-06-26,2024-06-30T01:20:03.399Z,44000,0,13,0.0,No recent data,21.431469,-158.174556,hmpxv clade ii,Honolulu,Hawaii
,WWS_nv_2607_Treatment plant_post grit removal,WWS,ID:2607,Treatment plant,2024-07-17,2023-03-27,2024-07-21T01:16:01.201Z,990000,0,9,0.0,No detection,36.108424,-114.99877400000001,hmpxv clade ii,Clark,Nevada
,NWSS_nj_788_Treatment plant_post grit removal,NWSS,ID:788,Treatment plant,2024-07-07,2023-01-27,2024-07-23T16:03:29.000Z,1500000,0,4,0.0,No detection,40.72988599999999,-74.15717699999999,hmpxv,"Essex, Hudson, Passaic, Bergen",New Jersey
,WWS_ca_1712_Treatment plant_post grit removal,WWS,ID:1712,Treatment plant,2024-06-28,2022-07-08,2024-07-07T01:25:43.911Z,28000,0,1,0.0,No recent data,37.394657,-122.426366,hmpxv clade ii,San Mateo,California
,WWS_ga_1666_Treatment plant_post grit removal,WWS,ID:1666,Treatment plant,2024-07-17,2022-07-06,2024-07-21T01:16:01.201Z,73821,0,9,0.0,No detection,33.62734,-84.56042699999999,hmpxv clade ii,Fulton,Georgia
,WWS_ca_1711_Treatment plant_post grit removal,WWS,ID:1711,Treatment plant,2024-06-27,2022-08-08,2024-06-30T01:20:03.399Z,18000,0,1,0.0,No recent data,37.838977,-122.52974300000001,hmpxv clade ii,Marin,California
,WWS_ia_1839_Treatment plant_primary sludge,WWS,ID:1839,Treatment plant,2024-07-17,2023-01-16,2024-07-21T01:16:01.201Z,29300,0,9,0.0,No detection,41.909456,-90.305199,hmpxv clade ii,Clinton,Iowa
,WWS_ca_1904_Treatment plant_primary sludge,WWS,ID:1904,Treatment plant,2024-07-18,2022-07-11,2024-07-21T01:16:01.201Z,890000,0,9,0.0,No detection,34.850084,-115.956971,hmpxv clade ii,San Bernardino,California
,NWSS_tx_2808_Treatment plant_raw wastewater,NWSS,ID:2808,Treatment plant,2024-07-10,2024-06-04,2024-07-16T13:51:09.000Z,18000,0,2,0.0,No recent data,30.102641,-97.994555,hmpxv clade i,Hays,Texas
,CDC_VERILY_sd_2630_Treatment plant_post grit removal,CDC_VERILY,ID:2630,Treatment plant,2024-07-22,2024-01-10,,14000,0,7,0.0,No detection,44.407514,-98.169353,nvo,Beadle,South Dakota
,WWS_me_1989_Treatment plant_post grit removal,WWS,ID:1989,Treatment plant,2024-06-27,2022-11-29,2024-06-30T01:20:03.399Z,10000,0,1,0.0,No recent data,43.930034,-70.332932,hmpxv clade ii,Cumberland,Maine
,WWS_fl_670_Treatment plant_post grit removal,WWS,ID:670 -B,Treatment plant,2024-07-17,2022-07-07,2024-07-21T01:16:01.201Z,94218,1,15,6.667,No detection,27.795372999999998,-82.702261,hmpxv clade ii,Pinellas,Florida
,WWS_in_772_Treatment plant_post grit removal,WWS,ID:772 -B,Treatment plant,2024-07-18,2022-08-15,2024-07-21T01:16:01.201Z,56090,0,12,0.0,No detection,39.08928,-86.602989,hmpxv clade ii,Monroe,Indiana
,NWSS_il_675_Before treatment plant_19_raw wastewater,NWSS,ID:675 -U4,Before treatment plant,2024-06-24,2023-02-27,2024-06-28T13:56:04.000Z,77799,1,4,25.0,No recent data,41.817769,-87.68516,hmpxv clade ii,Cook,Illinois
,WWS_in_828_Treatment plant_primary sludge,WWS,ID:828 -B,Treatment plant,2024-07-17,2023-05-01,2024-07-21T01:16:01.201Z,86000,0,9,0.0,No detection,39.93348,-86.106947,hmpxv clade ii,Hamilton,Indiana
,WWS_ca_352_Treatment plant_raw wastewater,WWS,ID:352,Treatment plant,2024-07-20,2023-02-20,2024-07-23T01:24:21.131Z,110338,0,24,0.0,No detection,37.024347,-121.499969,hmpxv clade ii,Santa Clara,California
,CDC_VERILY_ar_446_Treatment plant_raw wastewater,CDC_VERILY,ID:446,Treatment plant,2024-07-22,2022-11-08,2024-07-24T05:51:15.286Z,32043,0,7,0.0,No detection,34.833234,-92.32426000000001,nvo,Pulaski,Arkansas
,WWS_fl_1875_Treatment plant_post grit removal,WWS,ID:1875,Treatment plant,2024-06-28,2022-10-24,2024-07-07T01:25:43.911Z,95000,0,1,0.0,No recent data,28.678856,-81.26952899999999,hmpxv clade ii,Seminole,Florida
,WWS_va_2008_Treatment plant_primary sludge,WWS,ID:2008,Treatment plant,2024-07-17,2023-03-01,2024-07-21T01:16:01.201Z,100000,0,8,0.0,No detection,38.441238,-77.44024,hmpxv clade ii,Stafford,Virginia
,WWS_tn_2612_Treatment plant_post grit removal,WWS,ID:2612,Treatment plant,2024-07-16,2023-07-30,2024-07-21T01:16:01.201Z,300000,0,8,0.0,No detection,35.251059999999995,-90.014939,hmpxv clade ii,Shelby,Tennessee
,CDC_VERILY_ct_2733_Treatment plant_raw wastewater,CDC_VERILY,ID:2733,Treatment plant,2024-07-19,2024-04-09,2024-07-23T06:50:02.960Z,72914,0,4,0.0,No detection,41.087756,-73.39152200000001,nvo,Fairfield,Connecticut
,NWSS_tx_2813_Treatment plant_raw wastewater,NWSS,ID:2813,Treatment plant,2024-06-12,2024-06-05,2024-07-16T13:51:09.000Z,138397,0,3,0.0,No recent data,31.892192,-102.00651,hmpxv clade ii,Midland,Texas
,CDC_VERILY_ks_833_Treatment plant_raw wastewater,CDC_VERILY,ID:833,Treatment plant,2024-07-17,2022-11-30,2024-07-20T21:49:17.392Z,40000,0,5,0.0,No detection,39.142787,-95.813455,nvo,Shawnee,Kansas
,WWS_in_1889_Treatment plant_post grit removal,WWS,ID:1889,Treatment plant,2024-07-16,2022-09-11,2024-07-21T01:16:01.201Z,130000,0,9,0.0,No detection,41.719479,-86.336498,hmpxv clade ii,St Joseph,Indiana
,CDC_VERILY_ca_2490_Treatment plant_raw wastewater,CDC_VERILY,ID:2490,Treatment plant,2024-07-18,2023-11-21,2024-07-20T21:49:17.392Z,75000,0,6,0.0,No detection,33.789034,-118.29618199999999,nvo,"Ventura, Los Angeles",California
,CDC_VERILY_tx_2751_Treatment plant_post grit removal,CDC_VERILY,ID:2751,Treatment plant,2024-07-21,2024-05-06,2024-07-24T05:51:15.286Z,242000,0,3,0.0,No detection,32.785247999999996,-96.549646,nvo,Dallas,Texas
,WWS_il_1689_Treatment plant_post grit removal,WWS,ID:1689,Treatment plant,2024-07-16,2022-08-04,2024-07-21T01:16:01.201Z,86000,0,7,0.0,No detection,41.882114,-88.04050500000001,hmpxv clade ii,Du Page,Illinois
,WWS_ca_1874_Before treatment plant_488_post grit removal,WWS,ID:1874,Before treatment plant,2024-06-27,2022-11-01,2024-07-07T01:25:43.911Z,68150,0,1,0.0,No recent data,37.582204,-121.96822,hmpxv clade ii,Alameda,California
,CDC_VERILY_hi_2674_Treatment plant_raw wastewater,CDC_VERILY,ID:2674,Treatment plant,2024-07-17,2024-02-12,2024-07-20T20:49:02.968Z,19000,0,6,0.0,No detection,21.522,-158.04125499999998,nvo,Honolulu,Hawaii
,WWS_tx_1881_Treatment plant_post grit removal,WWS,ID:1881,Treatment plant,2024-07-17,2022-12-22,2024-07-21T01:16:01.201Z,17300,0,8,0.0,No detection,33.654018,-97.15837499999999,hmpxv clade ii,Cooke,Texas
,WWS_ks_1900_Treatment plant_post grit removal,WWS,ID:1900,Treatment plant,2024-07-11,2023-01-10,2024-07-16T01:15:18.432Z,90000,0,7,0.0,No detection,39.108334,-94.612194,hmpxv clade ii,Wyandotte,Kansas
,WWS_tx_2326_Treatment plant_post grit removal,WWS,ID:2326,Treatment plant,2024-07-17,2023-06-28,2024-07-21T01:16:01.201Z,630000,1,9,11.111,No detection,32.744001,-96.788639,hmpxv clade ii,Dallas,Texas
,CDC_VERILY_md_2518_Treatment plant_post grit removal,CDC_VERILY,ID:2518,Treatment plant,2024-07-22,2023-12-06,2024-07-24T05:20:17.101Z,90000,0,7,0.0,No detection,39.59263,-77.707333,nvo,Washington,Maryland
,CDC_VERILY_fl_2587_Treatment plant_post grit removal,CDC_VERILY,ID:2587,Treatment plant,2024-07-22,2024-01-08,2024-07-24T05:51:15.286Z,95000,0,7,0.0,No detection,28.684456,-81.28600899999999,nvo,"Orange, Seminole",Florida
,WWS_al_1893_Treatment plant_post grit removal,WWS,ID:1893,Treatment plant,2024-07-17,2022-08-22,2024-07-21T01:16:01.201Z,77000,0,9,0.0,No detection,33.598939,-86.82601100000001,hmpxv clade ii,Jefferson,Alabama
,WWS_me_1992_Treatment plant_post grit removal,WWS,ID:1992,Treatment plant,2024-07-17,2022-09-02,2024-07-21T01:16:01.201Z,65000,0,5,0.0,No detection,43.73671,-70.45438,hmpxv clade ii,Cumberland,Maine
,WWS_dc_2597_Treatment plant_post grit removal,WWS,ID:2597,Treatment plant,2024-06-03,2023-11-12,2024-06-08T01:20:18.108Z,2000000,0,1,0.0,No recent data,38.83248,-76.99453700000001,hmpxv clade ii,"Fairfax, Prince Georges, District Of Columbia, Loudoun","District of Columbia, Virginia, Maryland"
,NWSS_nc_167_Treatment plant_raw wastewater,NWSS,ID:167,Treatment plant,2024-06-07,2024-02-09,2024-06-14T16:25:16.000Z,89616,0,2,0.0,No recent data,35.621763,-77.382099,nvo,Pitt,North Carolina
,WWS_me_2598_Treatment plant_primary sludge,WWS,ID:2598,Treatment plant,2024-07-18,2023-05-15,2024-07-21T01:16:01.201Z,40000,0,9,0.0,No detection,45.066544,-68.877773,hmpxv clade ii,Penobscot,Maine
,WWS_tx_2615_Treatment plant_post grit removal,WWS,ID:2615,Treatment plant,2024-07-07,2023-06-22,2024-07-11T01:18:12.262Z,421700,0,6,0.0,No detection,32.664572,-96.60351,hmpxv clade ii,Dallas,Texas
,CDC_VERILY_ca_2669_Treatment plant_post grit removal,CDC_VERILY,ID:2669,Treatment plant,2024-07-18,2023-12-07,2024-07-20T21:49:17.392Z,14465,0,6,0.0,No detection,35.303720999999996,-120.798457,nvo,San Luis Obispo,California
,CDC_VERILY_nm_2683_Treatment plant_post grit removal,CDC_VERILY,ID:2683,Treatment plant,2024-07-21,2024-03-10,2024-07-24T05:51:15.286Z,650000,0,7,0.0,No detection,35.024142999999995,-106.653381,nvo,Bernalillo,New Mexico
