FullGeoName,key_plot_id,source,sewershed,location,sample_collect_date,first_sample_collect_date,submission_date,population_served,pos_samples,total_samples,percent_detections,pcr_target_detect_cat,latitude,longitude,pcr_target,counties,jurisdiction
,CDC_VERILY_ar_2507_Treatment plant_raw wastewater,CDC_VERILY,ID:2507,Treatment plant,2024-07-18,2023-11-28,2024-07-20T21:49:17.392Z,19000,0,5,0.0,No detection,36.22567,-94.37913800000001,nvo,Benton,Arkansas
,CDC_VERILY_nv_2592_Treatment plant_post grit removal,CDC_VERILY,ID:2592,Treatment plant,2024-07-22,2023-11-27,2024-07-24T05:51:15.286Z,2000000,0,7,0.0,No detection,36.119184,-114.98185400000001,nvo,Clark,Nevada
,CDC_VERILY_nm_2717_Treatment plant_raw wastewater,CDC_VERILY,ID:2717,Treatment plant,2024-07-18,2024-03-28,2024-07-20T20:49:02.968Z,15000,0,6,0.0,No detection,35.865338,-106.28749499999999,nvo,Los Alamos,New Mexico
,NWSS_wa_1757_Treatment plant_raw wastewater,NWSS,ID:1757,Treatment plant,2024-07-10,2022-12-04,2024-07-17T16:15:19.000Z,119790,0,3,0.0,No detection,46.985606999999995,-122.877199,hmpxv,Thurston,Washington
,WWS_wi_2621_Treatment plant_post grit removal,WWS,ID:2621,Treatment plant,2024-07-17,2023-06-17,2024-07-21T01:16:01.201Z,44000,0,9,0.0,No detection,44.972994,-89.79424200000001,hmpxv clade ii,Marathon,Wisconsin
,NWSS_il_674_Before treatment plant_18_raw wastewater,NWSS,ID:674 -U2,Before treatment plant,2024-07-01,2023-02-28,2024-07-08T12:48:27.000Z,23324,0,1,0.0,No recent data,41.817209,-87.68076,hmpxv clade ii,Cook,Illinois
,WWS_ca_1687_Treatment plant_post grit removal,WWS,ID:1687,Treatment plant,2024-05-30,2022-07-08,2024-06-03T08:17:15.850Z,65000,0,1,0.0,No recent data,38.232416,-122.563806,hmpxv clade ii,Sonoma,California
,WWS_ca_353_Treatment plant_primary sludge,WWS,ID:353,Treatment plant,2024-07-19,2023-02-19,2024-07-23T01:24:21.131Z,1500000,0,23,0.0,No detection,37.193676,-121.71112699999999,hmpxv clade ii,Santa Clara,California
,CDC_VERILY_fl_669_Treatment plant_raw wastewater,CDC_VERILY,ID:669,Treatment plant,2024-07-21,2024-01-07,2024-07-24T05:51:15.286Z,277823,0,5,0.0,No detection,28.534862,-81.187062,nvo,Orange,Florida
,WWS_nc_1894_Treatment plant_post grit removal,WWS,ID:1894,Treatment plant,2024-07-17,2022-10-17,2024-07-21T01:16:01.201Z,25000,0,9,0.0,No detection,35.213198999999996,-77.62586800000001,hmpxv clade ii,Lenoir,North Carolina
,WWS_ca_1792_Treatment plant_post grit removal,WWS,ID:1792,Treatment plant,2024-06-28,2022-12-21,2024-07-07T01:25:43.911Z,129000,0,1,0.0,No recent data,33.524257,-117.702782,hmpxv clade ii,Orange,California
,NWSS_nj_2353_Treatment plant_raw wastewater,NWSS,ID:2353,Treatment plant,2024-07-15,2023-06-15,2024-07-23T16:03:29.000Z,90000,0,5,0.0,No detection,40.856038,-74.412746,nvo,Morris,New Jersey
,WWS_la_2617_Treatment plant_post grit removal,WWS,ID:2617,Treatment plant,2024-07-17,2023-11-27,2024-07-21T01:16:01.201Z,333406,0,9,0.0,No detection,29.960873,-90.03761,hmpxv clade ii,Orleans,Louisiana
,CDC_VERILY_sc_2634_Treatment plant_post grit removal,CDC_VERILY,ID:2634,Treatment plant,2024-07-17,2024-01-17,2024-07-19T05:15:44.120Z,12000,0,3,0.0,No detection,33.450086999999996,-79.360005,nvo,Georgetown,South Carolina
,CDC_VERILY_ct_2650_Treatment plant_post grit removal,CDC_VERILY,ID:2650,Treatment plant,2024-07-18,2024-02-13,2024-07-20T21:49:17.392Z,41000,0,7,0.0,No detection,41.490158,-72.00223700000001,nvo,New London,Connecticut
,CDC_VERILY_nh_2496_Treatment plant_post grit removal,CDC_VERILY,ID:2496,Treatment plant,2024-07-17,2023-11-27,2024-07-19T05:15:44.120Z,6500,0,6,0.0,No detection,43.793403000000005,-71.10179000000001,nvo,"Cumberland, Oxford, Belknap, Carroll","Maine, New Hampshire"
,WWS_tx_1673_Treatment plant_primary sludge,WWS,ID:1673,Treatment plant,2024-07-17,2022-07-08,2024-07-21T01:16:01.201Z,200000,0,8,0.0,No detection,32.932522999999996,-96.627101,hmpxv clade ii,Dallas,Texas
,WWS_ca_1789_Treatment plant_post grit removal,WWS,ID:1789,Treatment plant,2024-06-28,2022-12-21,2024-07-07T01:25:43.911Z,48000,0,1,0.0,No recent data,33.525057000000004,-117.705502,hmpxv clade ii,Orange,California
,WWS_ca_393_Treatment plant_primary sludge,WWS,ID:393,Treatment plant,2024-07-19,2023-02-20,2024-07-23T01:24:21.131Z,199000,0,17,0.0,No detection,37.52388,-122.239406,hmpxv clade ii,San Mateo,California
,NWSS_wa_759_Treatment plant_raw wastewater,NWSS,ID:759,Treatment plant,2024-07-12,2022-10-24,2024-07-17T16:15:19.000Z,225000,0,7,0.0,No detection,47.694461,-117.45219,hmpxv,Spokane,Washington
,CDC_VERILY_ak_1491_Treatment plant_raw wastewater,CDC_VERILY,ID:1491,Treatment plant,2024-07-18,2022-12-06,2024-07-23T06:50:02.960Z,22000,0,6,0.0,No detection,58.370961,-134.53482599999998,nvo,Juneau,Alaska
,NWSS_nj_2354_Treatment plant_raw wastewater,NWSS,ID:2354,Treatment plant,2024-07-16,2023-07-06,2024-07-23T16:03:29.000Z,7000,0,5,0.0,No detection,40.471184,-74.641222,nvo,Somerset,New Jersey
,WWS_ca_383_Treatment plant_primary sludge,WWS,ID:383,Treatment plant,2024-07-19,2023-02-19,2024-07-23T01:24:21.131Z,1480000,0,23,0.0,No detection,38.343765000000005,-121.440201,hmpxv clade ii,Sacramento,California
,WWS_nj_788_Treatment plant_primary sludge,WWS,ID:788 -B,Treatment plant,2024-07-17,2022-08-05,2024-07-21T01:16:01.201Z,1500000,2,7,28.571,No detection,40.73120599999999,-74.13765699999999,hmpxv clade ii,"Essex, Hudson, Passaic, Union, Bergen",New Jersey
,CDC_VERILY_la_1652_Treatment plant_post grit removal,CDC_VERILY,ID:1652,Treatment plant,2024-07-22,2022-12-04,2024-07-24T05:51:15.286Z,23000,0,7,0.0,No detection,30.194212,-92.058921,nvo,Lafayette,Louisiana
,WWS_ga_1692_Treatment plant_post grit removal,WWS,ID:1692,Treatment plant,2024-07-17,2022-07-11,2024-07-21T01:16:01.201Z,84486,0,9,0.0,No detection,34.01947,-84.231555,hmpxv clade ii,Fulton,Georgia
,WWS_ma_2032_Treatment plant_post grit removal,WWS,ID:2032,Treatment plant,2024-07-16,2023-02-27,2024-07-21T01:16:01.201Z,250000,0,8,0.0,No detection,42.256442,-71.80864100000001,hmpxv clade ii,Worcester,Massachusetts
,CDC_VERILY_tn_2514_Treatment plant_post grit removal,CDC_VERILY,ID:2514,Treatment plant,2024-07-17,2023-12-04,2024-07-20T21:49:17.392Z,43750,0,4,0.0,No detection,35.2683,-84.795259,nvo,Bradley,Tennessee
,WWS_ca_1720_Treatment plant_post grit removal,WWS,ID:1720,Treatment plant,2024-06-27,2022-07-11,2024-06-30T01:20:03.399Z,100000,0,1,0.0,No recent data,37.936443,-122.392792,hmpxv clade ii,Contra Costa,California
,WWS_ne_2620_Treatment plant_post grit removal,WWS,ID:2620,Treatment plant,2024-07-17,2023-08-02,2024-07-21T01:16:01.201Z,240000,0,9,0.0,No detection,40.872421,-96.725794,hmpxv clade ii,Lancaster,Nebraska
,WWS_fl_671_Treatment plant_post grit removal,WWS,ID:671 -B,Treatment plant,2024-07-14,2022-07-07,2024-07-18T01:19:51.003Z,183009,0,7,0.0,No detection,28.443277,-81.45899999999999,hmpxv clade ii,Orange,Florida
,CDC_VERILY_ca_1199_Treatment plant_post grit removal,CDC_VERILY,ID:1199 -A,Treatment plant,2024-07-18,2022-11-30,2024-07-23T06:50:02.960Z,59488,0,7,0.0,No detection,36.222027999999995,-119.71548,nvo,Kings,California
,CDC_VERILY_wi_1277_Treatment plant_post grit removal,CDC_VERILY,ID:1277,Treatment plant,2024-07-17,2022-11-29,2024-07-20T21:49:17.392Z,424000,0,5,0.0,No detection,43.036286999999994,-89.40466599999999,nvo,Dane,Wisconsin
,WWS_ca_1892_Treatment plant_post grit removal,WWS,ID:1892,Treatment plant,2024-07-17,2022-08-07,2024-07-21T01:16:01.201Z,2200000,0,9,0.0,No detection,32.705515000000005,-117.22964400000001,hmpxv clade ii,San Diego,California
,CDC_VERILY_al_2510_Treatment plant_post grit removal,CDC_VERILY,ID:2510,Treatment plant,2024-07-22,2023-12-04,2024-07-24T05:51:15.286Z,18000,0,7,0.0,No detection,34.760056999999996,-87.68908,nvo,Colbert,Alabama
,CDC_VERILY_md_1278_Treatment plant_post grit removal,CDC_VERILY,ID:1278,Treatment plant,2024-07-18,2022-11-16,2024-07-20T21:49:17.392Z,22660,0,6,0.0,No detection,39.100008,-76.81404300000001,nvo,Anne Arundel,Maryland
,CDC_VERILY_tx_2673_Treatment plant_post grit removal,CDC_VERILY,ID:2673,Treatment plant,2024-07-18,2024-01-30,2024-07-20T20:49:02.968Z,115000,0,7,0.0,No detection,29.506331,-95.048742,nvo,Galveston,Texas
,WWS_ca_763_Treatment plant_post grit removal,WWS,ID:763 -B,Treatment plant,2024-07-16,2022-07-07,2024-07-21T01:16:01.201Z,160000,0,9,0.0,No detection,37.056028,-122.110046,hmpxv clade ii,Santa Cruz,California
,WWS_ca_834_Treatment plant_primary sludge,WWS,ID:834 -B,Treatment plant,2024-07-17,2022-08-24,2024-07-21T01:16:01.201Z,91765,0,9,0.0,No detection,33.729001,-116.04038499999999,hmpxv clade ii,Riverside,California
,WWS_al_1664_Treatment plant_post grit removal,WWS,ID:1664,Treatment plant,2024-07-17,2022-08-15,2024-07-21T01:16:01.201Z,95000,0,9,0.0,No detection,33.360624,-86.960984,hmpxv clade ii,Jefferson,Alabama
,WWS_ca_2405_Treatment plant_post grit removal,WWS,ID:2405,Treatment plant,2024-06-28,2023-03-15,2024-07-07T01:25:43.911Z,35000,0,1,0.0,No recent data,37.597554,-118.877236,hmpxv clade ii,Mono,California
,NWSS_wa_661_Treatment plant_raw wastewater,NWSS,ID:661,Treatment plant,2024-07-11,2023-09-26,2024-07-17T16:15:19.000Z,37650,0,4,0.0,No detection,47.846838,-122.317261,hmpxv,Snohomish,Washington
,CDC_VERILY_la_2694_Treatment plant_post grit removal,CDC_VERILY,ID:2694,Treatment plant,2024-07-18,2024-03-19,2024-07-20T20:49:02.968Z,64000,0,7,0.0,No detection,30.036121,-90.251987,nvo,Jefferson,Louisiana
,NWSS_wa_1512_Treatment plant_raw wastewater,NWSS,ID:1512,Treatment plant,2024-07-12,2022-10-24,2024-07-17T16:15:19.000Z,35812,0,5,0.0,No detection,46.82996,-117.317501,hmpxv,Whitman,Washington
,WWS_ga_1714_Treatment plant_primary sludge,WWS,ID:1714,Treatment plant,2024-07-10,2022-08-15,2024-07-14T01:18:20.516Z,278000,0,2,0.0,No recent data,32.41563,-84.929344,hmpxv clade ii,"Muscogee, Chattahoochee",Georgia
,WWS_mn_1883_Treatment plant_post grit removal,WWS,ID:1883,Treatment plant,2024-07-17,2022-08-29,2024-07-21T01:16:01.201Z,70000,0,9,0.0,No detection,44.058571,-93.993272,hmpxv clade ii,"Blue Earth, Nicollet",Minnesota
,WWS_ca_1219_Treatment plant_post grit removal,WWS,ID:1219 -B,Treatment plant,2024-07-17,2023-02-15,2024-07-21T01:16:01.201Z,9000,0,5,0.0,No detection,39.063289999999995,-122.927451,hmpxv clade ii,Lake,California
,CDC_VERILY_ar_1543_Treatment plant_raw wastewater,CDC_VERILY,ID:1543,Treatment plant,2024-07-22,2022-11-08,2024-07-24T05:51:15.286Z,23812,0,7,0.0,No detection,34.758271,-92.15336500000001,nvo,Pulaski,Arkansas
,CDC_VERILY_mo_2671_Treatment plant_post grit removal,CDC_VERILY,ID:2671,Treatment plant,2024-07-18,2024-02-27,2024-07-20T21:49:17.392Z,48000,0,5,0.0,No detection,38.242846,-90.517875,nvo,Jefferson,Missouri
,WWS_ca_1896_Treatment plant_post grit removal,WWS,ID:1896,Treatment plant,2024-07-17,2022-08-01,2024-07-21T01:16:01.201Z,69290,0,9,0.0,No detection,34.628904,-120.331354,hmpxv clade ii,Santa Barbara,California
,CDC_VERILY_wy_2476_Treatment plant_post grit removal,CDC_VERILY,ID:2476,Treatment plant,2024-07-17,2023-11-13,2024-07-23T06:50:02.960Z,13000,0,7,0.0,No detection,43.461433,-110.735426,nvo,Teton,Wyoming
,CDC_VERILY_md_2495_Treatment plant_raw wastewater,CDC_VERILY,ID:2495,Treatment plant,2024-07-22,2023-11-27,2024-07-24T05:20:17.101Z,3000,0,6,0.0,No detection,39.43624,-79.316523,nvo,Garrett,Maryland
,CDC_VERILY_ok_2512_Treatment plant_post grit removal,CDC_VERILY,ID:2512,Treatment plant,2024-07-17,2023-12-05,2024-07-20T20:49:02.968Z,50350,0,5,0.0,No detection,36.397681,-97.844011,nvo,Garfield,Oklahoma
,WWS_tx_1765_Treatment plant_primary sludge,WWS,ID:1765,Treatment plant,2024-07-17,2022-12-05,2024-07-21T01:16:01.201Z,90000,0,9,0.0,No detection,33.981536000000006,-98.523478,hmpxv clade ii,Wichita,Texas
,NWSS_nj_2423_Treatment plant_raw wastewater,NWSS,ID:2423,Treatment plant,2024-07-15,2023-10-02,2024-07-23T16:03:29.000Z,250000,0,4,0.0,No detection,39.497928,-74.63417399999999,nvo,Atlantic,New Jersey
,NWSS_nc_1521_Treatment plant_raw wastewater,NWSS,ID:1521,Treatment plant,2024-06-06,2023-10-30,2024-06-14T16:25:16.000Z,82158,0,2,0.0,No recent data,35.207605,-80.92943,nvo,Mecklenburg,North Carolina
,WWS_ca_1912_Treatment plant_post grit removal,WWS,ID:1912,Treatment plant,2024-06-28,2022-12-16,2024-07-07T01:25:43.911Z,28000,0,1,0.0,No recent data,38.529267,-122.80814000000001,hmpxv clade ii,Sonoma,California
,WWS_tx_1948_Treatment plant_post grit removal,WWS,ID:1948,Treatment plant,2024-07-17,2023-02-20,2024-07-21T01:16:01.201Z,70000,0,9,0.0,No detection,30.160093,-95.493337,hmpxv clade ii,Montgomery,Texas
,CDC_VERILY_tx_2689_Treatment plant_raw wastewater,CDC_VERILY,ID:2689,Treatment plant,2024-06-04,2024-03-13,2024-06-07T18:23:52.089Z,15000,0,2,0.0,No recent data,29.202648,-94.939889,nvo,Galveston,Texas
,NWSS_nj_1291_Treatment plant_post grit removal,NWSS,ID:1291,Treatment plant,2024-07-09,2023-02-27,2024-07-23T16:03:29.000Z,54000,0,2,0.0,No recent data,40.950169,-74.242688,nvo,Passaic,New Jersey
,CDC_VERILY_vt_2644_Treatment plant_raw wastewater,CDC_VERILY,ID:2644,Treatment plant,2024-07-11,2024-02-06,2024-07-13T05:10:59.988Z,20000,0,4,0.0,No detection,42.941435999999996,-73.114942,nvo,Bennington,Vermont
,CDC_VERILY_tx_2666_Treatment plant_post grit removal,CDC_VERILY,ID:2666,Treatment plant,2024-07-18,2024-01-30,2024-07-20T21:49:17.392Z,115000,0,6,0.0,No detection,29.501491,-95.062062,nvo,Galveston,Texas
,WWS_ca_1872_Before treatment plant_468_primary sludge,WWS,ID:1872,Before treatment plant,2024-07-16,2022-11-01,2024-07-21T01:16:01.201Z,229476,0,6,0.0,No detection,37.513373,-121.95076,hmpxv clade ii,Alameda,California
,WWS_ca_1898_Treatment plant_post grit removal,WWS,ID:1898,Treatment plant,2024-07-16,2022-11-27,2024-07-21T01:16:01.201Z,262000,0,8,0.0,No detection,36.640299,-121.819031,hmpxv clade ii,Monterey,California
,CDC_VERILY_pa_2667_Treatment plant_post grit removal,CDC_VERILY,ID:2667,Treatment plant,2024-07-18,2023-12-05,2024-07-20T21:49:17.392Z,13000,0,7,0.0,No detection,40.212186,-75.237517,nvo,Montgomery,Pennsylvania
,WWS_nh_1880_Treatment plant_post grit removal,WWS,ID:1880,Treatment plant,2024-07-16,2022-11-28,2024-07-19T01:21:14.107Z,30000,0,8,0.0,No detection,43.299149,-70.998482,hmpxv clade ii,Strafford,New Hampshire
,WWS_ky_1899_Treatment plant_post grit removal,WWS,ID:1899,Treatment plant,2024-07-17,2022-07-14,2024-07-21T01:16:01.201Z,423913,0,7,0.0,No detection,38.221410999999996,-85.815363,hmpxv clade ii,Jefferson,Kentucky
,NWSS_tx_2815_Treatment plant_raw wastewater,NWSS,ID:2815,Treatment plant,2024-06-19,2024-06-05,2024-07-16T13:51:09.000Z,19372,0,3,0.0,No recent data,31.851782,-95.68161900000001,hmpxv clade i,Anderson,Texas
,WWS_oh_1810_Treatment plant_primary sludge,WWS,ID:1810,Treatment plant,2024-07-17,2023-01-06,2024-07-21T01:16:01.201Z,365000,0,9,0.0,No detection,41.151559999999996,-81.573951,hmpxv clade ii,"Portage, Summit",Ohio
,CDC_VERILY_hi_2672_Treatment plant_post grit removal,CDC_VERILY,ID:2672,Treatment plant,2024-07-17,2024-02-12,2024-07-20T20:49:02.968Z,400000,0,6,0.0,No detection,21.375899,-157.894619,nvo,Honolulu,Hawaii
,WWS_mi_1909_Treatment plant_post grit removal,WWS,ID:1909,Treatment plant,2024-07-18,2023-01-23,2024-07-21T01:16:01.201Z,30623,0,9,0.0,No detection,44.773919,-85.484793,hmpxv clade ii,Grand Traverse,Michigan
,WWS_fl_669_Treatment plant_post grit removal,WWS,ID:669 -B,Treatment plant,2024-07-14,2022-07-07,2024-07-18T01:19:51.003Z,195299,1,6,16.667,No detection,28.532822000000003,-81.16954199999999,hmpxv clade ii,Orange,Florida
,WWS_tx_1131_Treatment plant_primary sludge,WWS,ID:1131 -B,Treatment plant,2024-07-16,2022-07-07,2024-07-21T01:16:01.201Z,186000,0,8,0.0,No detection,32.796848,-96.557766,hmpxv clade ii,Dallas,Texas
,CDC_VERILY_nc_1220_Treatment plant_post grit removal,CDC_VERILY,ID:1220,Treatment plant,2024-07-18,2022-11-16,2024-07-20T20:49:02.968Z,32000,0,7,0.0,No detection,35.690281,-80.44548,nvo,Rowan,North Carolina
,WWS_va_1908_Treatment plant_primary sludge,WWS,ID:1908,Treatment plant,2024-06-28,2022-12-12,2024-07-07T01:25:43.911Z,3000,0,1,0.0,No recent data,36.722507,-80.68647,hmpxv clade ii,Carroll,Virginia
,CDC_VERILY_me_2501_Treatment plant_post grit removal,CDC_VERILY,ID:2501,Treatment plant,2024-07-18,2023-11-27,2024-07-20T21:49:17.392Z,8700,0,6,0.0,No detection,43.867411999999995,-69.83453499999999,nvo,Sagadahoc,Maine
,WWS_hi_2610_Treatment plant_post grit removal,WWS,ID:2610,Treatment plant,2024-06-26,2023-06-26,2024-06-30T01:20:03.399Z,90000,0,13,0.0,No recent data,21.583924,-158.033681,hmpxv clade ii,Honolulu,Hawaii
,NWSS_wa_2124_Treatment plant_raw wastewater,NWSS,ID:2124,Treatment plant,2024-07-11,2023-04-11,2024-07-17T16:15:19.000Z,16150,0,4,0.0,No detection,48.942768,-122.44288900000001,hmpxv,Whatcom,Washington
,CDC_VERILY_me_2475_Treatment plant_post grit removal,CDC_VERILY,ID:2475,Treatment plant,2024-07-18,2023-11-14,2024-07-20T20:49:02.968Z,20000,0,6,0.0,No detection,43.588076,-70.637289,nvo,York,Maine
,CDC_VERILY_nh_2519_Treatment plant_post grit removal,CDC_VERILY,ID:2519,Treatment plant,2024-07-16,2023-12-05,2024-07-19T05:15:44.120Z,6000,0,6,0.0,No detection,43.390805,-72.189939,nvo,Sullivan,New Hampshire
,NWSS_wa_1398_Treatment plant_raw wastewater,NWSS,ID:1398,Treatment plant,2024-07-10,2022-10-26,2024-07-17T16:15:19.000Z,8475,0,2,0.0,No recent data,47.171085,-119.405998,hmpxv,Grant,Washington
,CDC_VERILY_tx_2642_Treatment plant_raw wastewater,CDC_VERILY,ID:2642,Treatment plant,2024-07-22,2024-02-05,2024-07-24T05:51:15.286Z,140000,0,7,0.0,No detection,27.515159,-99.488118,nvo,Webb,Texas
,CDC_VERILY_ak_1490_Treatment plant_raw wastewater,CDC_VERILY,ID:1490,Treatment plant,2024-07-17,2022-12-06,2024-07-23T06:50:02.960Z,12000,0,1,0.0,No recent data,58.385481000000006,-134.535226,nvo,Juneau,Alaska
,WWS_ca_1911_Treatment plant_post grit removal,WWS,ID:1911,Treatment plant,2024-07-18,2022-09-20,2024-07-21T01:16:01.201Z,121000,0,10,0.0,No detection,38.088639,-122.2586,hmpxv clade ii,Solano,California
,WWS_al_1719_Treatment plant_post grit removal,WWS,ID:1719,Treatment plant,2024-07-18,2022-08-16,2024-07-21T01:16:01.201Z,200000,1,7,14.286,Intermittent detection,33.521415000000005,-86.966455,hmpxv clade ii,Jefferson,Alabama
,WWS_md_1808_Treatment plant_post grit removal,WWS,ID:1808,Treatment plant,2024-07-17,2023-01-04,2024-07-21T01:16:01.201Z,55000,0,9,0.0,No detection,38.240349,-76.431293,hmpxv clade ii,Saint Marys,Maryland
,CDC_VERILY_sc_2676_Treatment plant_post grit removal,CDC_VERILY,ID:2676,Treatment plant,2024-07-17,2024-01-10,2024-07-19T05:15:44.120Z,12000,0,3,0.0,No detection,34.115929,-82.12162099999999,nvo,Greenwood,South Carolina
,WWS_ca_1703_Treatment plant_post grit removal,WWS,ID:1703,Treatment plant,2024-07-17,2022-07-08,2024-07-21T01:16:01.201Z,53000,0,9,0.0,No detection,38.016374,-122.538511,hmpxv clade ii,Marin,California
,NWSS_wa_2105_Treatment plant_raw wastewater,NWSS,ID:2105,Treatment plant,2024-07-08,2023-04-10,2024-07-17T16:15:19.000Z,24180,0,4,0.0,No detection,48.317538000000006,-122.626713,hmpxv,Island,Washington
,WWS_ca_2404_Treatment plant_post grit removal,WWS,ID:2404,Treatment plant,2024-06-28,2023-01-20,2024-07-03T15:43:45.000Z,73000,0,1,0.0,No recent data,34.23082,-116.884714,hmpxv clade ii,San Bernardino,California
,CDC_VERILY_ar_2588_Treatment plant_post grit removal,CDC_VERILY,ID:2588,Treatment plant,2024-07-18,2023-11-28,2024-07-20T21:49:17.392Z,14000,0,7,0.0,No detection,36.288926,-93.091981,nvo,Boone,Arkansas
,WWS_nc_1662_Treatment plant_post grit removal,WWS,ID:1662,Treatment plant,2024-07-17,2022-08-22,2024-07-21T01:16:01.201Z,92000,0,9,0.0,No detection,36.050279,-80.310725,hmpxv clade ii,Forsyth,North Carolina
,WWS_mi_1781_Treatment plant_primary sludge,WWS,ID:1781,Treatment plant,2024-07-17,2022-12-09,2024-07-21T01:16:01.201Z,75000,0,9,0.0,No detection,42.916464,-85.835746,hmpxv clade ii,Kent,Michigan
,WWS_mi_1878_Treatment plant_post grit removal,WWS,ID:1878,Treatment plant,2024-07-17,2022-07-08,2024-07-21T01:16:01.201Z,125000,0,9,0.0,No detection,42.316956999999995,-83.722251,hmpxv clade ii,Washtenaw,Michigan
,CDC_VERILY_me_2681_Treatment plant_post grit removal,CDC_VERILY,ID:2681,Treatment plant,2024-07-22,2024-03-04,2024-07-24T05:51:15.286Z,6000,0,7,0.0,No detection,43.736560000000004,-70.27877600000001,nvo,Cumberland,Maine
,NWSS_il_675_Before treatment plant_21_raw wastewater,NWSS,ID:675 -U5,Before treatment plant,2024-07-01,2023-02-28,2024-07-08T12:48:27.000Z,24099,0,1,0.0,No recent data,41.801529,-87.68688,nvo,Cook,Illinois
,NWSS_nj_1385_Treatment plant_raw wastewater,NWSS,ID:1385,Treatment plant,2024-07-15,2023-01-30,2024-07-23T16:03:29.000Z,145000,0,5,0.0,No detection,40.742651,-74.023374,nvo,Hudson,New Jersey
,CDC_VERILY_ct_2486_Treatment plant_raw wastewater,CDC_VERILY,ID:2486,Treatment plant,2024-07-21,2023-11-19,2024-07-24T05:51:15.286Z,45878,0,7,0.0,No detection,41.040386,-73.61489,nvo,Fairfield,Connecticut
,WWS_ia_1783_Treatment plant_primary sludge,WWS,ID:1783,Treatment plant,2024-07-18,2022-12-12,2024-07-21T01:16:01.201Z,24400,0,10,0.0,No detection,41.471466,-91.054888,hmpxv clade ii,Muscatine,Iowa
,CDC_VERILY_md_1285_Treatment plant_post grit removal,CDC_VERILY,ID:1285,Treatment plant,2024-07-17,2022-11-16,2024-07-20T21:49:17.392Z,13296,0,7,0.0,No detection,39.0696,-76.618577,nvo,Anne Arundel,Maryland
,NWSS_wa_2534_Treatment plant_raw wastewater,NWSS,ID:2534,Treatment plant,2024-07-08,2023-10-09,2024-07-17T16:15:19.000Z,81140,0,2,0.0,No recent data,45.74315,-122.71272599999999,hmpxv,Clark,Washington
,CDC_VERILY_vt_2657_Treatment plant_raw wastewater,CDC_VERILY,ID:2657,Treatment plant,2024-07-09,2024-02-20,2024-07-17T05:45:59.589Z,6000,0,1,0.0,No recent data,43.372984,-72.712553,nvo,Windsor,Vermont
,NWSS_nj_2350_Treatment plant_raw wastewater,NWSS,ID:2350,Treatment plant,2024-07-12,2023-05-17,2024-07-23T16:03:29.000Z,24530,0,5,0.0,No detection,40.764677,-74.488566,nvo,Morris,New Jersey
,CDC_VERILY_ca_2590_Treatment plant_post grit removal,CDC_VERILY,ID:2590,Treatment plant,2024-07-18,2023-11-21,2024-07-20T20:49:02.968Z,60000,0,7,0.0,No detection,37.709589,-122.157341,nvo,Alameda,California
,CDC_VERILY_tx_2663_Treatment plant_raw wastewater,CDC_VERILY,ID:2663,Treatment plant,2024-07-22,2024-02-05,2024-07-24T05:51:15.286Z,120000,0,7,0.0,No detection,27.404879,-99.482894,nvo,Webb,Texas
,CDC_VERILY_fl_2692_Treatment plant_raw wastewater,CDC_VERILY,ID:2692,Treatment plant,2024-07-18,2024-03-12,2024-07-20T20:49:02.968Z,100000,0,7,0.0,No detection,27.228061,-82.35015999999999,nvo,Sarasota,Florida
,CDC_VERILY_me_2500_Treatment plant_post grit removal,CDC_VERILY,ID:2500,Treatment plant,2024-07-18,2023-11-28,2024-07-20T21:49:17.392Z,5000,0,6,0.0,No detection,46.877955,-68.017802,nvo,Aroostook,Maine
,CDC_VERILY_nc_2589_Treatment plant_post grit removal,CDC_VERILY,ID:2589,Treatment plant,2024-07-17,2023-12-04,2024-07-20T20:49:02.968Z,20484,0,6,0.0,No detection,35.217799,-77.614868,nvo,Lenoir,North Carolina
,WWS_id_813_Treatment plant_post grit removal,WWS,ID:813,Treatment plant,2024-07-17,2023-01-16,2024-07-21T01:16:01.201Z,108556,0,9,0.0,No detection,43.674752000000005,-116.26022400000001,hmpxv clade ii,Ada,Idaho
,WWS_sd_2606_Treatment plant_post grit removal,WWS,ID:2606,Treatment plant,2024-07-17,2023-04-25,2024-07-21T01:16:01.201Z,20000,0,9,0.0,No detection,42.93488,-97.37297000000001,hmpxv clade ii,Yankton,South Dakota
,WWS_ca_1873_Before treatment plant_469_post grit removal,WWS,ID:1873,Before treatment plant,2024-06-27,2022-11-03,2024-07-07T01:25:43.911Z,47229,0,1,0.0,No recent data,37.522662,-122.013352,hmpxv clade ii,Alameda,California
,CDC_VERILY_fl_2637_Treatment plant_post grit removal,CDC_VERILY,ID:2637,Treatment plant,2024-07-22,2024-01-29,2024-07-24T05:51:15.286Z,100000,0,7,0.0,No detection,26.657215,-80.439869,nvo,"Martin, Palm Beach",Florida
,CDC_VERILY_ia_544_Treatment plant_raw wastewater,CDC_VERILY,ID:544,Treatment plant,2024-07-17,2022-11-29,2024-07-20T21:49:17.392Z,75000,0,6,0.0,No detection,41.654367,-91.545659,nvo,Johnson,Iowa
,CDC_VERILY_va_2491_Treatment plant_post grit removal,CDC_VERILY,ID:2491,Treatment plant,2024-07-18,2023-11-21,2024-07-20T21:49:17.392Z,60000,0,7,0.0,No detection,39.257095,-78.19273199999999,nvo,"Frederick, Winchester City",Virginia
