United States,"Oct 8, 2022","2,194","Aug 29, 2024"
United States,"Oct 1, 2022","2,377","Aug 29, 2024"
United States,"Sep 24, 2022","2,546","Aug 29, 2024"
United States,"Sep 17, 2022","2,513","Aug 29, 2024"
United States,"Sep 10, 2022","2,808","Aug 29, 2024"
United States,"Sep 3, 2022","2,926","Aug 29, 2024"
United States,"Aug 27, 2022","3,050","Aug 29, 2024"
United States,"Aug 20, 2022","3,166","Aug 29, 2024"
United States,"Aug 13, 2022","3,284","Aug 29, 2024"
United States,"Aug 6, 2022","3,373","Aug 29, 2024"
United States,"Jul 30, 2022","3,401","Aug 29, 2024"
United States,"Jul 23, 2022","3,226","Aug 29, 2024"
United States,"Jul 16, 2022","2,929","Aug 29, 2024"
United States,"Jul 9, 2022","2,588","Aug 29, 2024"
United States,"Jul 2, 2022","2,420","Aug 29, 2024"
United States,"Jun 25, 2022","2,329","Aug 29, 2024"
United States,"Jun 18, 2022","2,194","Aug 29, 2024"
United States,"Jun 11, 2022","2,139","Aug 29, 2024"
United States,"Jun 4, 2022","2,007","Aug 29, 2024"
United States,"May 28, 2022","1,940","Aug 29, 2024"
United States,"May 21, 2022","1,742","Aug 29, 2024"
United States,"May 14, 2022","1,676","Aug 29, 2024"
United States,"May 7, 2022","1,433","Aug 29, 2024"
United States,"Apr 30, 2022","1,426","Aug 29, 2024"
United States,"Apr 23, 2022","1,345","Aug 29, 2024"
United States,"Apr 16, 2022","1,410","Aug 29, 2024"
United States,"Apr 9, 2022","1,552","Aug 29, 2024"
United States,"Apr 2, 2022","1,908","Aug 29, 2024"
United States,"Mar 26, 2022","2,505","Aug 29, 2024"
United States,"Mar 19, 2022","3,127","Aug 29, 2024"
United States,"Mar 12, 2022","4,404","Aug 29, 2024"
United States,"Mar 5, 2022","6,041","Aug 29, 2024"
United States,"Feb 26, 2022","8,290","Aug 29, 2024"
United States,"Feb 19, 2022","11,566","Aug 29, 2024"
United States,"Feb 12, 2022","15,317","Aug 29, 2024"
United States,"Feb 5, 2022","18,756","Aug 29, 2024"
United States,"Jan 29, 2022","20,966","Aug 29, 2024"
United States,"Jan 22, 2022","21,335","Aug 29, 2024"
United States,"Jan 15, 2022","19,078","Aug 29, 2024"
